13dpg_c,S0
2pg_c,S1
3pg_c,S2
6pgc_c,S3
6pgl_c,S4
ac_c,S5
ac_e,S6
acald_c,S7
acald_e,S8
accoa_c,S9
acon_C_c,S10
actp_c,S11
adp_c,S12
akg_c,S13
akg_e,S14
amp_c,S15
atp_c,S16
cit_c,S17
co2_c,S18
co2_e,S19
coa_c,S20
dhap_c,S21
e4p_c,S22
etoh_c,S23
etoh_e,S24
f6p_c,S25
fdp_c,S26
for_c,S27
for_e,S28
fru_e,S29
fum_c,S30
fum_e,S31
g3p_c,S32
g6p_c,S33
glc__D_e,S34
gln__L_c,S35
gln__L_e,S36
glu__L_c,S37
glu__L_e,S38
glx_c,S39
h2o_c,S40
h2o_e,S41
h_c,S42
h_e,S43
icit_c,S44
lac__D_c,S45
lac__D_e,S46
mal__L_c,S47
mal__L_e,S48
nad_c,S49
nadh_c,S50
nadp_c,S51
nadph_c,S52
nh4_c,S53
nh4_e,S54
o2_c,S55
o2_e,S56
oaa_c,S57
pep_c,S58
pi_c,S59
pi_e,S60
pyr_c,S61
pyr_e,S62
q8_c,S63
q8h2_c,S64
r5p_c,S65
ru5p__D_c,S66
s7p_c,S67
succ_c,S68
succ_e,S69
succoa_c,S70
xu5p__D_c,S71
glcn_e,S72
glcn_c,S73
glyc_e,S74
glyc_c,S75
dha_c,S76
glyc3p_c,S77
gal_e,S78
gal_c,S79
gal1p_c,S80
g1p_c,S81
f1p_c,S82
2ddg6p_c,S83
ppi_c,S84
h2o2_c,S85
biomass_e,S86
13dpg_c_0,P0
2pg_c_0,P1
3pg_c_0,P2
6pgc_c_0,P3
6pgl_c_0,P4
ac_c_0,P5
ac_e_0,P6
acald_c_0,P7
acald_e_0,P8
accoa_c_0,P9
acon_C_c_0,P10
actp_c_0,P11
adp_c_0,P12
akg_c_0,P13
akg_e_0,P14
amp_c_0,P15
atp_c_0,P16
cit_c_0,P17
co2_c_0,P18
co2_e_0,P19
coa_c_0,P20
dhap_c_0,P21
e4p_c_0,P22
etoh_c_0,P23
etoh_e_0,P24
f6p_c_0,P25
fdp_c_0,P26
for_c_0,P27
for_e_0,P28
fru_e_0,P29
fum_c_0,P30
fum_e_0,P31
g3p_c_0,P32
g6p_c_0,P33
glc__D_e_0,P34
gln__L_c_0,P35
gln__L_e_0,P36
glu__L_c_0,P37
glu__L_e_0,P38
glx_c_0,P39
h2o_c_0,P40
h2o_e_0,P41
h_c_0,P42
h_e_0,P43
icit_c_0,P44
lac__D_c_0,P45
lac__D_e_0,P46
mal__L_c_0,P47
mal__L_e_0,P48
nad_c_0,P49
nadh_c_0,P50
nadp_c_0,P51
nadph_c_0,P52
nh4_c_0,P53
nh4_e_0,P54
o2_c_0,P55
o2_e_0,P56
oaa_c_0,P57
pep_c_0,P58
pi_c_0,P59
pi_e_0,P60
pyr_c_0,P61
pyr_e_0,P62
q8_c_0,P63
q8h2_c_0,P64
r5p_c_0,P65
ru5p__D_c_0,P66
s7p_c_0,P67
succ_c_0,P68
succ_e_0,P69
succoa_c_0,P70
xu5p__D_c_0,P71
glcn_e_0,P72
glcn_c_0,P73
glyc_e_0,P74
glyc_c_0,P75
dha_c_0,P76
glyc3p_c_0,P77
gal_e_0,P78
gal_c_0,P79
gal1p_c_0,P80
g1p_c_0,P81
f1p_c_0,P82
2ddg6p_c_0,P83
ppi_c_0,P84
h2o2_c_0,P85
biomass_e_0,P86
kcat_ACALD,P87
E_ACALD,P88
Km_ACALD_acald_c,P89
Km_ACALD_accoa_c,P90
Km_ACALD_coa_c,P91
Km_ACALD_h_c,P92
Km_ACALD_nad_c,P93
Km_ACALD_nadh_c,P94
Keq_ACALD,P95
kcat_ACALDt,P96
E_ACALDt,P97
Km_ACALDt_acald_c,P98
Km_ACALDt_acald_e,P99
Keq_ACALDt,P100
kcat_ACKr,P101
E_ACKr,P102
Km_ACKr_ac_c,P103
Km_ACKr_actp_c,P104
Km_ACKr_adp_c,P105
Km_ACKr_atp_c,P106
Keq_ACKr,P107
kcat_ACONTa,P108
E_ACONTa,P109
Km_ACONTa_acon_C_c,P110
Km_ACONTa_cit_c,P111
Km_ACONTa_h2o_c,P112
Keq_ACONTa,P113
kcat_ACONTb,P114
E_ACONTb,P115
Km_ACONTb_acon_C_c,P116
Km_ACONTb_h2o_c,P117
Km_ACONTb_icit_c,P118
Keq_ACONTb,P119
kcat_ACt2r,P120
E_ACt2r,P121
Km_ACt2r_ac_c,P122
Km_ACt2r_ac_e,P123
Km_ACt2r_h_c,P124
Km_ACt2r_h_e,P125
Keq_ACt2r,P126
kcat_ADK1,P127
E_ADK1,P128
Km_ADK1_adp_c,P129
Km_ADK1_amp_c,P130
Km_ADK1_atp_c,P131
Keq_ADK1,P132
kcat_AKGDH,P133
E_AKGDH,P134
Km_AKGDH_akg_c,P135
Km_AKGDH_co2_c,P136
Km_AKGDH_coa_c,P137
Km_AKGDH_nad_c,P138
Km_AKGDH_nadh_c,P139
Km_AKGDH_succoa_c,P140
Keq_AKGDH,P141
kcat_AKGt2r,P142
E_AKGt2r,P143
Km_AKGt2r_akg_c,P144
Km_AKGt2r_akg_e,P145
Km_AKGt2r_h_c,P146
Km_AKGt2r_h_e,P147
Keq_AKGt2r,P148
kcat_ALCD2x,P149
E_ALCD2x,P150
Km_ALCD2x_acald_c,P151
Km_ALCD2x_etoh_c,P152
Km_ALCD2x_h_c,P153
Km_ALCD2x_nad_c,P154
Km_ALCD2x_nadh_c,P155
Keq_ALCD2x,P156
kcat_ATPM,P157
E_ATPM,P158
Km_ATPM_adp_c,P159
Km_ATPM_atp_c,P160
Km_ATPM_h2o_c,P161
Km_ATPM_h_c,P162
Km_ATPM_pi_c,P163
Keq_ATPM,P164
kcat_ATPS4r,P165
E_ATPS4r,P166
Km_ATPS4r_adp_c,P167
Km_ATPS4r_atp_c,P168
Km_ATPS4r_h2o_c,P169
Km_ATPS4r_h_c,P170
Km_ATPS4r_h_e,P171
Km_ATPS4r_pi_c,P172
Keq_ATPS4r,P173
kcat_Biomass_Ecoli_core_w_GAM,P174
E_Biomass_Ecoli_core_w_GAM,P175
Km_Biomass_Ecoli_core_w_GAM_3pg_c,P176
Km_Biomass_Ecoli_core_w_GAM_accoa_c,P177
Km_Biomass_Ecoli_core_w_GAM_adp_c,P178
Km_Biomass_Ecoli_core_w_GAM_akg_c,P179
Km_Biomass_Ecoli_core_w_GAM_atp_c,P180
Km_Biomass_Ecoli_core_w_GAM_coa_c,P181
Km_Biomass_Ecoli_core_w_GAM_e4p_c,P182
Km_Biomass_Ecoli_core_w_GAM_f6p_c,P183
Km_Biomass_Ecoli_core_w_GAM_g3p_c,P184
Km_Biomass_Ecoli_core_w_GAM_g6p_c,P185
Km_Biomass_Ecoli_core_w_GAM_gln__L_c,P186
Km_Biomass_Ecoli_core_w_GAM_glu__L_c,P187
Km_Biomass_Ecoli_core_w_GAM_h2o_c,P188
Km_Biomass_Ecoli_core_w_GAM_h_c,P189
Km_Biomass_Ecoli_core_w_GAM_nad_c,P190
Km_Biomass_Ecoli_core_w_GAM_nadh_c,P191
Km_Biomass_Ecoli_core_w_GAM_nadp_c,P192
Km_Biomass_Ecoli_core_w_GAM_nadph_c,P193
Km_Biomass_Ecoli_core_w_GAM_oaa_c,P194
Km_Biomass_Ecoli_core_w_GAM_pep_c,P195
Km_Biomass_Ecoli_core_w_GAM_pi_c,P196
Km_Biomass_Ecoli_core_w_GAM_pyr_c,P197
Km_Biomass_Ecoli_core_w_GAM_r5p_c,P198
Km_Biomass_Ecoli_core_w_GAM_biomass_e,P199
kcat_CO2t,P200
E_CO2t,P201
Km_CO2t_co2_c,P202
Km_CO2t_co2_e,P203
Keq_CO2t,P204
kcat_CS,P205
E_CS,P206
Km_CS_accoa_c,P207
Km_CS_cit_c,P208
Km_CS_coa_c,P209
Km_CS_h2o_c,P210
Km_CS_h_c,P211
Km_CS_oaa_c,P212
Keq_CS,P213
kcat_CYTBD,P214
E_CYTBD,P215
Km_CYTBD_h2o_c,P216
Km_CYTBD_h_c,P217
Km_CYTBD_h_e,P218
Km_CYTBD_o2_c,P219
Km_CYTBD_q8_c,P220
Km_CYTBD_q8h2_c,P221
Keq_CYTBD,P222
kcat_D_LACt2,P223
E_D_LACt2,P224
Km_D_LACt2_h_c,P225
Km_D_LACt2_h_e,P226
Km_D_LACt2_lac__D_c,P227
Km_D_LACt2_lac__D_e,P228
Keq_D_LACt2,P229
kcat_ENO,P230
E_ENO,P231
Km_ENO_2pg_c,P232
Km_ENO_h2o_c,P233
Km_ENO_pep_c,P234
Keq_ENO,P235
kcat_ETOHt2r,P236
E_ETOHt2r,P237
Km_ETOHt2r_etoh_c,P238
Km_ETOHt2r_etoh_e,P239
Km_ETOHt2r_h_c,P240
Km_ETOHt2r_h_e,P241
Keq_ETOHt2r,P242
kcat_FBA,P243
E_FBA,P244
Km_FBA_dhap_c,P245
Km_FBA_fdp_c,P246
Km_FBA_g3p_c,P247
Keq_FBA,P248
kcat_FBP,P249
E_FBP,P250
Km_FBP_f6p_c,P251
Km_FBP_fdp_c,P252
Km_FBP_h2o_c,P253
Km_FBP_pi_c,P254
Keq_FBP,P255
kcat_FORt2,P256
E_FORt2,P257
Km_FORt2_for_c,P258
Km_FORt2_for_e,P259
Km_FORt2_h_c,P260
Km_FORt2_h_e,P261
Keq_FORt2,P262
kcat_FORti,P263
E_FORti,P264
Km_FORti_for_c,P265
Km_FORti_for_e,P266
Keq_FORti,P267
kcat_FRD7,P268
E_FRD7,P269
Km_FRD7_fum_c,P270
Km_FRD7_q8_c,P271
Km_FRD7_q8h2_c,P272
Km_FRD7_succ_c,P273
Keq_FRD7,P274
kcat_FUM,P275
E_FUM,P276
Km_FUM_fum_c,P277
Km_FUM_h2o_c,P278
Km_FUM_mal__L_c,P279
Keq_FUM,P280
kcat_FUMt2_2,P281
E_FUMt2_2,P282
Km_FUMt2_2_fum_c,P283
Km_FUMt2_2_fum_e,P284
Km_FUMt2_2_h_c,P285
Km_FUMt2_2_h_e,P286
Keq_FUMt2_2,P287
kcat_G6PDH2r,P288
E_G6PDH2r,P289
Km_G6PDH2r_6pgl_c,P290
Km_G6PDH2r_g6p_c,P291
Km_G6PDH2r_h_c,P292
Km_G6PDH2r_nadp_c,P293
Km_G6PDH2r_nadph_c,P294
Keq_G6PDH2r,P295
kcat_GAPD,P296
E_GAPD,P297
Km_GAPD_13dpg_c,P298
Km_GAPD_g3p_c,P299
Km_GAPD_h_c,P300
Km_GAPD_nad_c,P301
Km_GAPD_nadh_c,P302
Km_GAPD_pi_c,P303
Keq_GAPD,P304
kcat_GLCpts,P305
E_GLCpts,P306
Km_GLCpts_g6p_c,P307
Km_GLCpts_glc__D_e,P308
Km_GLCpts_pep_c,P309
Km_GLCpts_pyr_c,P310
Keq_GLCpts,P311
kcat_GLNS,P312
E_GLNS,P313
Km_GLNS_adp_c,P314
Km_GLNS_atp_c,P315
Km_GLNS_gln__L_c,P316
Km_GLNS_glu__L_c,P317
Km_GLNS_h_c,P318
Km_GLNS_nh4_c,P319
Km_GLNS_pi_c,P320
Keq_GLNS,P321
kcat_GLNabc,P322
E_GLNabc,P323
Km_GLNabc_adp_c,P324
Km_GLNabc_atp_c,P325
Km_GLNabc_gln__L_c,P326
Km_GLNabc_gln__L_e,P327
Km_GLNabc_h2o_c,P328
Km_GLNabc_h_c,P329
Km_GLNabc_pi_c,P330
Keq_GLNabc,P331
kcat_GLUDy,P332
E_GLUDy,P333
Km_GLUDy_akg_c,P334
Km_GLUDy_glu__L_c,P335
Km_GLUDy_h2o_c,P336
Km_GLUDy_h_c,P337
Km_GLUDy_nadp_c,P338
Km_GLUDy_nadph_c,P339
Km_GLUDy_nh4_c,P340
Keq_GLUDy,P341
kcat_GLUN,P342
E_GLUN,P343
Km_GLUN_gln__L_c,P344
Km_GLUN_glu__L_c,P345
Km_GLUN_h2o_c,P346
Km_GLUN_nh4_c,P347
Keq_GLUN,P348
kcat_GLUSy,P349
E_GLUSy,P350
Km_GLUSy_akg_c,P351
Km_GLUSy_gln__L_c,P352
Km_GLUSy_glu__L_c,P353
Km_GLUSy_h_c,P354
Km_GLUSy_nadp_c,P355
Km_GLUSy_nadph_c,P356
Keq_GLUSy,P357
kcat_GLUt2r,P358
