13dpg_c,S0
2pg_c,S1
3pg_c,S2
6pgc_c,S3
6pgl_c,S4
ac_c,S5
ac_e,S6
acald_c,S7
acald_e,S8
accoa_c,S9
acon_C_c,S10
actp_c,S11
adp_c,S12
akg_c,S13
akg_e,S14
amp_c,S15
atp_c,S16
cit_c,S17
co2_c,S18
co2_e,S19
coa_c,S20
dhap_c,S21
e4p_c,S22
etoh_c,S23
etoh_e,S24
f6p_c,S25
fdp_c,S26
for_c,S27
for_e,S28
fru_e,S29
fum_c,S30
fum_e,S31
g3p_c,S32
g6p_c,S33
glc__D_e,S34
gln__L_c,S35
gln__L_e,S36
glu__L_c,S37
glu__L_e,S38
glx_c,S39
h2o_c,S40
h2o_e,S41
h_c,S42
h_e,S43
icit_c,S44
lac__D_c,S45
lac__D_e,S46
mal__L_c,S47
mal__L_e,S48
nad_c,S49
nadh_c,S50
nadp_c,S51
nadph_c,S52
nh4_c,S53
nh4_e,S54
o2_c,S55
o2_e,S56
oaa_c,S57
pep_c,S58
pi_c,S59
pi_e,S60
pyr_c,S61
pyr_e,S62
q8_c,S63
q8h2_c,S64
r5p_c,S65
ru5p__D_c,S66
s7p_c,S67
succ_c,S68
succ_e,S69
succoa_c,S70
xu5p__D_c,S71
glcn_e,S72
glcn_c,S73
glyc_e,S74
glyc_c,S75
dha_c,S76
glyc3p_c,S77
gal_e,S78
gal_c,S79
gal1p_c,S80
g1p_c,S81
f1p_c,S82
2ddg6p_c,S83
ppi_c,S84
h2o2_c,S85
biomass_e,S86
ACALD,R0
ACALDt,R1
ACKr,R2
ACONTa,R3
ACONTb,R4
ACt2r,R5
ADK1,R6
AKGDH,R7
AKGt2r,R8
ALCD2x,R9
ATPM,R10
ATPS4r,R11
Biomass_Ecoli_core_w_GAM,R12
CO2t,R13
CS,R14
CYTBD,R15
D_LACt2,R16
ENO,R17
ETOHt2r,R18
FBA,R19
FBP,R20
FORt2,R21
FORti,R22
FRD7,R23
FUM,R24
FUMt2_2,R25
G6PDH2r,R26
GAPD,R27
GLCpts,R28
GLNS,R29
GLNabc,R30
GLUDy,R31
GLUN,R32
GLUSy,R33
GLUt2r,R34
GND,R35
H2Ot,R36
ICDHyr,R37
ICL,R38
LDH_D,R39
MALS,R40
MALt2_2,R41
MDH,R42
ME1,R43
ME2,R44
NADH16,R45
NADTRHD,R46
NH4t,R47
O2t,R48
PDH,R49
PFK,R50
PFL,R51
PGI,R52
PGK,R53
PGL,R54
PGM,R55
PIt2r,R56
PPC,R57
PPCK,R58
PPS,R59
PTAr,R60
PYK,R61
PYRt2r,R62
RPE,R63
RPI,R64
SUCCt2_2,R65
SUCCt3,R66
SUCDi,R67
SUCOAS,R68
TALA,R69
THD2,R70
TKT1,R71
TKT2,R72
TPI,R73
GLCNt2r,R74
GNK,R75
GLYCt,R76
GLYCDx,R77
DHAPT,R78
G3PD2,R79
G3PT,R80
GLYK,R81
GALabc,R82
UGLT,R83
PGMT,R84
GALKr,R85
FRUpts,R86
FRUK,R87
EDD,R88
EDA,R89
ACS,R90
MOX,R91
S0,13dpg_c
S1,2pg_c
S2,3pg_c
S3,6pgc_c
S4,6pgl_c
S5,ac_c
S6,ac_e
S7,acald_c
S8,acald_e
S9,accoa_c
S10,acon_C_c
S11,actp_c
S12,adp_c
S13,akg_c
S14,akg_e
S15,amp_c
S16,atp_c
S17,cit_c
S18,co2_c
S19,co2_e
S20,coa_c
S21,dhap_c
S22,e4p_c
S23,etoh_c
S24,etoh_e
S25,f6p_c
S26,fdp_c
S27,for_c
S28,for_e
S29,fru_e
S30,fum_c
S31,fum_e
S32,g3p_c
S33,g6p_c
S34,glc__D_e
S35,gln__L_c
S36,gln__L_e
S37,glu__L_c
S38,glu__L_e
S39,glx_c
S40,h2o_c
S41,h2o_e
S42,h_c
S43,h_e
S44,icit_c
S45,lac__D_c
S46,lac__D_e
S47,mal__L_c
S48,mal__L_e
S49,nad_c
S50,nadh_c
S51,nadp_c
S52,nadph_c
S53,nh4_c
S54,nh4_e
S55,o2_c
S56,o2_e
S57,oaa_c
S58,pep_c
S59,pi_c
S60,pi_e
S61,pyr_c
S62,pyr_e
S63,q8_c
S64,q8h2_c
S65,r5p_c
S66,ru5p__D_c
S67,s7p_c
S68,succ_c
S69,succ_e
S70,succoa_c
S71,xu5p__D_c
S72,glcn_e
S73,glcn_c
S74,glyc_e
S75,glyc_c
S76,dha_c
S77,glyc3p_c
S78,gal_e
S79,gal_c
S80,gal1p_c
S81,g1p_c
S82,f1p_c
S83,2ddg6p_c
S84,ppi_c
S85,h2o2_c
S86,biomass_e
R0,ACALD
R1,ACALDt
R2,ACKr
R3,ACONTa
R4,ACONTb
R5,ACt2r
R6,ADK1
R7,AKGDH
R8,AKGt2r
R9,ALCD2x
R10,ATPM
R11,ATPS4r
R12,Biomass_Ecoli_core_w_GAM
R13,CO2t
R14,CS
R15,CYTBD
R16,D_LACt2
R17,ENO
R18,ETOHt2r
R19,FBA
R20,FBP
R21,FORt2
R22,FORti
R23,FRD7
R24,FUM
R25,FUMt2_2
R26,G6PDH2r
R27,GAPD
R28,GLCpts
R29,GLNS
R30,GLNabc
R31,GLUDy
R32,GLUN
R33,GLUSy
R34,GLUt2r
R35,GND
R36,H2Ot
R37,ICDHyr
R38,ICL
R39,LDH_D
R40,MALS
R41,MALt2_2
R42,MDH
R43,ME1
R44,ME2
R45,NADH16
R46,NADTRHD
R47,NH4t
R48,O2t
R49,PDH
R50,PFK
R51,PFL
R52,PGI
R53,PGK
R54,PGL
R55,PGM
R56,PIt2r
R57,PPC
R58,PPCK
R59,PPS
R60,PTAr
R61,PYK
R62,PYRt2r
R63,RPE
R64,RPI
R65,SUCCt2_2
R66,SUCCt3
R67,SUCDi
R68,SUCOAS
R69,TALA
R70,THD2
R71,TKT1
R72,TKT2
R73,TPI
R74,GLCNt2r
R75,GNK
R76,GLYCt
R77,GLYCDx
R78,DHAPT
R79,G3PD2
R80,G3PT
R81,GLYK
R82,GALabc
R83,UGLT
R84,PGMT
R85,GALKr
R86,FRUpts
R87,FRUK
R88,EDD
R89,EDA
R90,ACS
R91,MOX
